PLAYERS,GAMES,MIN,MPG,PTS,PPG,REB,RPG,OREB,DREB,AST,APG,STL,SPG,BLK,BPG,TO,TOPG,PF,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP
Lexie Hull,2,9,4.5,3.0,1.5,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0
NaLyssa Smith,1,5,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Napheesa Collier,2,37,18.5,58.0,29.0,17.0,8.5,1.0,16.0,7.0,3.5,3.0,1.5,1.0,0.5,2.0,1.0,6.0,25.0,42.0,59.5,4.0,12.0,33.3,3.0,5.0,60.0
Natasha Cloud,3,43,14.33,27.0,9.0,16.0,5.33,0.0,16.0,13.0,4.33,0.0,0.0,0.0,0.0,10.0,3.33,4.0,10.0,31.0,32.3,3.0,15.0,20.0,2.0,2.0,100.0
Natisha Hiedeman,2,15,7.5,12.0,6.0,6.0,3.0,1.0,5.0,6.0,3.0,1.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,10.0,40.0,2.0,7.0,28.6,1.0,1.0,100.0
Rae Burrell,3,21,7.0,24.0,8.0,2.0,0.67,0.0,2.0,3.0,1.0,1.0,0.33,2.0,0.67,3.0,1.0,1.0,8.0,20.0,40.0,2.0,6.0,33.3,3.0,3.0,100.0
Rhyne Howard,3,43,14.33,63.0,21.0,18.0,6.0,2.0,16.0,9.0,3.0,3.0,1.0,2.0,0.67,4.0,1.33,3.0,20.0,41.0,48.8,11.0,24.0,45.8,6.0,7.0,85.7
Rickea Jackson,3,39,13.0,48.0,16.0,9.0,3.0,2.0,7.0,2.0,0.67,3.0,1.0,0.0,0.0,4.0,1.33,7.0,19.0,46.0,41.3,4.0,11.0,36.4,3.0,3.0,100.0
Sabrina Ionescu,2,49,24.5,32.0,16.0,11.0,5.5,1.0,10.0,8.0,4.0,2.0,1.0,1.0,0.5,4.0,2.0,3.0,12.0,28.0,42.9,7.0,17.0,41.2,1.0,2.0,50.0
Satou Sabally,3,57,19.0,52.0,17.33,14.0,4.67,4.0,10.0,6.0,2.0,2.0,0.67,0.0,0.0,12.0,4.0,13.0,19.0,40.0,47.5,8.0,14.0,57.1,3.0,4.0,75.0
Shakira Austin,2,14,7.0,12.0,6.0,5.0,2.5,4.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,3.0,1.5,4.0,4.0,11.0,36.4,0.0,0.0,0.0,2.0,3.0,66.7
Skylar Diggins-Smith,2,23,11.5,30.0,15.0,6.0,3.0,2.0,4.0,5.0,2.5,3.0,1.5,1.0,0.5,1.0,0.5,8.0,11.0,23.0,47.8,4.0,10.0,40.0,2.0,4.0,50.0
Stefanie Dolson,3,48,16.0,28.0,9.33,14.0,4.67,1.0,13.0,3.0,1.0,0.0,0.0,1.0,0.33,4.0,1.33,1.0,11.0,17.0,64.7,3.0,6.0,50.0,2.0,2.0,100.0
Tiffany Hayes,3,39,13.0,56.0,18.67,18.0,6.0,4.0,14.0,12.0,4.0,4.0,1.33,0.0,0.0,6.0,2.0,8.0,23.0,49.0,46.9,8.0,17.0,47.1,1.0,3.0,33.3
